,subject,Trial,key_press,accuracy,rt,trial_type,arrL,arrR,ValL,ValR,Age,Gender,FullColorVision,compensation,rainbow,nValL,nValR,skew
45,0mkkxzz3w,16,74,1,3998.30000007153,Experiment,4 6 6 3 10 7,10 4 5 7 6 5,36,37,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
46,0mkkxzz3w,17,74,1,2654.20000004768,Experiment,7 10 3 3 8 6,7 9 8 5 7 3,37,39,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
47,0mkkxzz3w,18,70,1,3933.5,Experiment,1 4 8 7 2 7,1 7 5 4 2 5,29,24,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
48,0mkkxzz3w,19,70,1,1996.40000009537,Experiment,9 3 4 10 7 5,3 5 7 4 8 9,38,36,35,Male,Yes,11.07,Pink to Blue,6,6,0.11150198809860125
49,0mkkxzz3w,20,74,0,3175.60000002384,Experiment,5 6 12 11 9 12,10 8 6 12 7 6,55,49,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
50,0mkkxzz3w,21,74,1,2579.79999995232,Experiment,7 3 6 8 3 10,7 8 9 3 5 9,37,41,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
51,0mkkxzz3w,22,70,0,3197.70000004768,Experiment,9 10 7 6 8 8,6 11 11 10 5 7,48,50,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
52,0mkkxzz3w,23,70,1,2803.80000007153,Experiment,5 4 8 5 8 9,6 10 3 4 4 10,39,37,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
53,0mkkxzz3w,24,74,1,3124.89999997616,Experiment,8 1 1 4 5 6,6 5 3 5 1 7,25,27,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
54,0mkkxzz3w,25,70,1,6256.09999990463,Experiment,11 6 9 8 6 12,9 5 11 5 8 10,52,48,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
55,0mkkxzz3w,26,70,1,4445.60000002384,Experiment,3 1 7 5 6 6,2 5 6 3 8 3,28,27,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
56,0mkkxzz3w,27,70,0,13189.1000000238,Experiment,6 5 9 3 4 9,3 9 8 4 10 3,36,37,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
57,0mkkxzz3w,28,74,1,1196.5,Experiment,3 10 6 3 10 4,5 10 10 8 5 4,36,42,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
58,0mkkxzz3w,29,74,0,1829.19999992847,Experiment,10 10 8 4 6 10,6 7 10 4 6 10,48,43,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
59,0mkkxzz3w,30,70,1,5509.20000004768,Experiment,4 7 6 1 8 5,7 4 2 5 1 6,31,25,35,Male,Yes,11.07,Pink to Blue,6,6,0.11150198809860125
60,0mkkxzz3w,31,74,1,5225.5,Experiment,1 8 4 2 2 8,6 2 3 6 3 7,25,27,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
61,0mkkxzz3w,32,74,1,5788.39999997616,Experiment,5 7 3 6 2 1,3 7 8 2 1 5,24,26,35,Male,Yes,11.07,Pink to Blue,6,6,0.11150198809860125
62,0mkkxzz3w,33,70,1,3141.29999995232,Experiment,7 11 10 11 11 7,9 11 7 7 7 11,57,52,35,Male,Yes,11.07,Pink to Blue,3,3,0.11150198809860125
63,0mkkxzz3w,34,74,1,3500.39999997616,Experiment,5 7 5 9 8 7,7 8 8 4 7 9,41,43,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
64,0mkkxzz3w,35,70,0,4988.0,Experiment,4 6 5 5 6 1,1 3 8 8 5 5,27,30,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
65,0mkkxzz3w,36,74,0,3645.19999992847,Experiment,6 3 8 6 5 7,7 7 6 8 4 1,35,33,35,Male,Yes,11.07,Pink to Blue,5,5,0.11150198809860125
66,0mkkxzz3w,37,74,0,1525.5,Experiment,10 8 6 10 7 8,3 9 10 9 9 8,49,48,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
67,0mkkxzz3w,38,74,1,3052.5,Experiment,5 12 5 9 9 11,12 8 10 7 10 7,51,54,35,Male,Yes,11.07,Pink to Blue,4,4,0.11150198809860125
