,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
3086,6111,1t2zfshu2,44,3,0,0.7147,experiment_VB,-15,51,12.8,0.6,18,33,15,1,"[1, 1, 5, 7, 1, 3]","[6, 8, 2, 5, 5, 7]",4,5,-1,1,44,VB_FR,1,Value-Based Reward,Middle-Value
3087,6112,1t2zfshu2,45,3,0,1.1261,experiment_VB,-8,46,12.8,0.6,19,27,8,1,"[4, 6, 3, 1, 2, 3]","[2, 4, 2, 5, 6, 8]",5,5,0,0,45,VB_FR,0,Value-Based Reward,Low-Value
3088,6113,1t2zfshu2,46,3,1,1.9517,experiment_VB,5,39,12.8,0.6,22,17,5,1,"[7, 4, 3, 2, 2, 4]","[1, 3, 2, 3, 6, 2]",4,4,0,0,46,VB_FR,0,Value-Based Reward,Low-Value
3089,6114,1t2zfshu2,47,3,0,0.9067,experiment_VB,-12,44,12.8,0.6,16,28,12,1,"[2, 2, 4, 2, 5, 1]","[6, 3, 5, 7, 3, 4]",4,5,-1,1,47,VB_FR,1,Value-Based Reward,Low-Value
3090,6115,1t2zfshu2,48,3,1,2.9319,experiment_VB,-3,55,12.8,0.6,26,29,3,0,"[2, 8, 8, 3, 2, 3]","[7, 4, 4, 5, 1, 8]",3,5,-2,2,48,VB_FR,2,Value-Based Reward,Middle-Value
3091,6116,1t2zfshu2,49,3,1,1.1745,experiment_VB,4,52,12.8,0.6,28,24,4,1,"[3, 4, 4, 4, 6, 7]","[6, 6, 1, 4, 5, 2]",4,5,-1,1,49,VB_FR,1,Value-Based Reward,Middle-Value
3092,6117,1t2zfshu2,50,3,0,0.6658,experiment_VB,-17,55,12.8,0.6,19,36,17,1,"[5, 1, 2, 6, 3, 2]","[7, 1, 8, 4, 8, 8]",5,4,1,1,50,VB_FR,1,Value-Based Reward,Middle-Value
3093,6118,1t2zfshu2,51,3,1,1.2701,experiment_VB,4,48,12.8,0.6,26,22,4,1,"[4, 4, 4, 3, 3, 8]","[3, 3, 3, 5, 1, 7]",3,4,-1,1,51,VB_FR,1,Value-Based Reward,Middle-Value
3094,6119,1t2zfshu2,52,3,1,1.1603,experiment_VB,9,47,12.8,0.6,28,19,9,1,"[3, 5, 8, 3, 6, 3]","[2, 2, 5, 4, 1, 5]",4,4,0,0,52,VB_FR,0,Value-Based Reward,Low-Value
3095,6120,1t2zfshu2,53,3,1,0.758,experiment_VB,9,49,12.8,0.6,29,20,9,1,"[3, 7, 4, 5, 7, 3]","[1, 2, 6, 6, 4, 1]",4,4,0,0,53,VB_FR,0,Value-Based Reward,Middle-Value
3096,6121,1t2zfshu2,54,3,1,0.8184,experiment_VB,19,69,12.8,0.6,44,25,19,1,"[8, 6, 8, 8, 6, 8]","[4, 3, 3, 5, 8, 2]",2,5,-3,3,54,VB_FR,3,Value-Based Reward,High-Value
3097,6122,1t2zfshu2,55,3,1,0.7971,experiment_VB,8,58,12.8,0.6,33,25,8,1,"[8, 7, 5, 7, 4, 2]","[4, 3, 8, 3, 6, 1]",5,5,0,0,55,VB_FR,0,Value-Based Reward,Middle-Value
3098,6123,1t2zfshu2,56,3,0,0.8715,experiment_VB,-8,48,12.8,0.6,20,28,8,1,"[3, 2, 4, 3, 7, 1]","[6, 6, 3, 2, 4, 7]",5,5,0,0,56,VB_FR,0,Value-Based Reward,Middle-Value
3099,6124,1t2zfshu2,57,3,1,2.0702,experiment_VB,3,59,12.8,0.6,31,28,3,1,"[1, 8, 5, 5, 4, 8]","[1, 7, 5, 8, 1, 6]",4,5,-1,1,57,VB_FR,1,Value-Based Reward,Middle-Value
3100,6125,1t2zfshu2,59,3,1,1.4233,experiment_VB,5,45,12.8,0.6,25,20,5,1,"[4, 8, 1, 7, 3, 2]","[3, 6, 6, 2, 1, 2]",6,4,2,2,58,VB_FR,2,Value-Based Reward,Low-Value
3101,6126,1t2zfshu2,60,3,0,0.7597,experiment_VB,-13,55,12.8,0.6,21,34,13,1,"[3, 5, 5, 4, 1, 3]","[5, 2, 6, 6, 8, 7]",4,5,-1,1,59,VB_FR,1,Value-Based Reward,Middle-Value
3102,6127,1t2zfshu2,61,3,0,0.644,experiment_VB,-11,65,12.8,0.6,27,38,11,1,"[3, 7, 6, 6, 2, 3]","[7, 8, 5, 8, 7, 3]",4,4,0,0,60,VB_FR,0,Value-Based Reward,High-Value
3103,6128,1t2zfshu2,62,3,0,1.3632,experiment_VB,-7,43,12.8,0.6,18,25,7,1,"[8, 1, 1, 6, 1, 1]","[1, 4, 8, 4, 3, 5]",3,5,-2,2,61,VB_FR,2,Value-Based Reward,Low-Value
3104,6129,1t2zfshu2,63,3,0,0.6759,experiment_VB,-13,71,12.8,0.6,29,42,13,1,"[3, 4, 8, 4, 5, 5]","[6, 8, 8, 6, 6, 8]",4,2,2,2,62,VB_FR,2,Value-Based Reward,High-Value
3105,6130,1t2zfshu2,64,3,1,0.6796,experiment_VB,16,62,12.8,0.6,39,23,16,1,"[6, 8, 6, 8, 8, 3]","[5, 1, 2, 4, 8, 3]",3,6,-3,3,63,VB_FR,3,Value-Based Reward,High-Value
3106,6131,1t2zfshu2,65,3,0,0.8553,experiment_VB,6,40,12.8,0.6,23,17,6,0,"[1, 1, 3, 8, 6, 4]","[1, 2, 3, 5, 3, 3]",5,4,1,1,64,VB_FR,1,Value-Based Reward,Low-Value
3107,6132,1t2zfshu2,66,3,0,1.0131,experiment_VB,-5,49,12.8,0.6,22,27,5,1,"[6, 5, 6, 1, 1, 3]","[2, 2, 7, 6, 5, 5]",4,4,0,0,65,VB_FR,0,Value-Based Reward,Middle-Value
3108,6133,1t2zfshu2,67,3,1,0.9486,experiment_VB,1,53,12.8,0.6,27,26,1,1,"[4, 3, 4, 5, 6, 5]","[3, 4, 1, 5, 7, 6]",4,6,-2,2,66,VB_FR,2,Value-Based Reward,Middle-Value
3109,6134,1t2zfshu2,68,3,1,0.8653,experiment_VB,10,56,12.8,0.6,33,23,10,1,"[8, 3, 6, 6, 3, 7]","[4, 8, 5, 3, 1, 2]",4,6,-2,2,67,VB_FR,2,Value-Based Reward,Middle-Value
3110,6135,1t2zfshu2,69,3,0,2.291,experiment_VB,-7,47,12.8,0.6,20,27,7,1,"[4, 7, 1, 5, 1, 2]","[1, 6, 6, 6, 6, 2]",5,3,2,2,68,VB_FR,2,Value-Based Reward,Low-Value
3111,6136,1t2zfshu2,70,3,0,1.0439,experiment_VB,-5,67,12.8,0.6,31,36,5,1,"[8, 4, 7, 3, 6, 3]","[6, 8, 8, 2, 7, 5]",5,5,0,0,69,VB_FR,0,Value-Based Reward,High-Value
3112,6137,1t2zfshu2,71,3,0,0.7766,experiment_VB,-6,34,12.8,0.6,14,20,6,1,"[3, 1, 3, 1, 2, 4]","[2, 4, 3, 1, 2, 8]",4,5,-1,1,70,VB_FR,1,Value-Based Reward,Low-Value
3113,6138,1t2zfshu2,72,3,1,0.6873,experiment_VB,11,53,12.8,0.6,32,21,11,1,"[2, 5, 6, 7, 4, 8]","[3, 2, 1, 4, 3, 8]",6,5,1,1,71,VB_FR,1,Value-Based Reward,Middle-Value
3114,6139,1t2zfshu2,73,3,1,0.7271,experiment_VB,9,53,12.8,0.6,31,22,9,1,"[4, 4, 3, 8, 7, 5]","[4, 1, 2, 2, 8, 5]",5,5,0,0,72,VB_FR,0,Value-Based Reward,Middle-Value
3115,6140,1t2zfshu2,74,3,0,0.8951,experiment_VB,-6,52,12.8,0.6,23,29,6,1,"[3, 8, 4, 1, 1, 6]","[4, 2, 7, 1, 8, 7]",5,5,0,0,73,VB_FR,0,Value-Based Reward,Middle-Value
3116,6141,1t2zfshu2,75,3,1,0.668,experiment_VB,6,56,12.8,0.6,31,25,6,1,"[6, 5, 2, 7, 3, 8]","[4, 2, 1, 6, 8, 4]",6,5,1,1,74,VB_FR,1,Value-Based Reward,Middle-Value
3117,6142,1t2zfshu2,76,3,1,1.0146,experiment_VB,1,57,12.8,0.6,29,28,1,1,"[7, 3, 3, 5, 4, 7]","[6, 6, 2, 6, 6, 2]",4,2,2,2,75,VB_FR,2,Value-Based Reward,Middle-Value
3118,6143,1t2zfshu2,77,3,1,1.7325,experiment_VB,0,50,12.8,0.6,25,25,0,0,"[5, 3, 3, 1, 7, 6]","[4, 2, 5, 7, 1, 6]",5,6,-1,1,76,VB_FR,1,Value-Based Reward,Middle-Value
3119,6144,1t2zfshu2,78,3,0,1.16,experiment_VB,-1,33,12.8,0.6,16,17,1,1,"[1, 1, 6, 5, 2, 1]","[2, 4, 3, 1, 6, 1]",4,5,-1,1,77,VB_FR,1,Value-Based Reward,Low-Value
3120,6145,1t2zfshu2,79,3,1,0.7509,experiment_VB,13,57,12.8,0.6,35,22,13,1,"[2, 4, 7, 7, 8, 7]","[7, 1, 2, 2, 2, 8]",4,4,0,0,78,VB_FR,0,Value-Based Reward,Middle-Value
3121,6146,1t2zfshu2,80,3,1,0.9855,experiment_VB,5,55,12.8,0.6,30,25,5,1,"[8, 4, 3, 2, 5, 8]","[2, 3, 3, 8, 4, 5]",5,5,0,0,79,VB_FR,0,Value-Based Reward,Middle-Value
3122,6147,1t2zfshu2,81,3,0,1.2823,experiment_VB,-7,61,12.8,0.6,27,34,7,1,"[7, 6, 1, 3, 2, 8]","[1, 6, 7, 6, 8, 6]",6,4,2,2,80,VB_FR,2,Value-Based Reward,High-Value
3123,6148,1t2zfshu2,82,3,1,0.7502,experiment_VB,0,66,12.8,0.6,33,33,0,1,"[8, 8, 5, 6, 5, 1]","[6, 7, 3, 4, 7, 6]",4,4,0,0,81,VB_FR,0,Value-Based Reward,High-Value
3124,6149,1t2zfshu2,83,3,1,0.7284,experiment_VB,8,62,12.8,0.6,35,27,8,1,"[7, 3, 8, 6, 3, 8]","[7, 6, 4, 2, 4, 4]",4,4,0,0,82,VB_FR,0,Value-Based Reward,High-Value
3125,6150,1t2zfshu2,84,3,1,2.2534,experiment_VB,3,39,12.8,0.6,21,18,3,1,"[3, 3, 5, 1, 4, 5]","[5, 3, 3, 3, 3, 1]",4,3,1,1,83,VB_FR,1,Value-Based Reward,Low-Value
3126,6151,1t2zfshu2,85,3,0,0.8187,experiment_VB,-6,50,12.8,0.6,22,28,6,1,"[1, 5, 6, 4, 1, 5]","[6, 1, 7, 7, 3, 4]",4,5,-1,1,84,VB_FR,1,Value-Based Reward,Middle-Value
3127,6152,1t2zfshu2,86,3,0,1.3711,experiment_VB,-6,60,12.8,0.6,27,33,6,1,"[3, 8, 3, 8, 1, 4]","[7, 5, 3, 5, 6, 7]",4,4,0,0,85,VB_FR,0,Value-Based Reward,High-Value
3128,6153,1t2zfshu2,87,3,1,1.4773,experiment_VB,0,52,12.8,0.6,26,26,0,0,"[4, 5, 1, 2, 7, 7]","[1, 8, 8, 3, 3, 3]",5,3,2,2,86,VB_FR,2,Value-Based Reward,Middle-Value
3129,6154,1t2zfshu2,88,3,0,1.8179,experiment_VB,-7,47,12.8,0.6,20,27,7,1,"[3, 5, 1, 2, 3, 6]","[2, 8, 8, 1, 7, 1]",5,4,1,1,87,VB_FR,1,Value-Based Reward,Low-Value
3130,6155,1t2zfshu2,89,3,1,0.7694,experiment_VB,6,54,12.8,0.6,30,24,6,1,"[7, 8, 4, 5, 4, 2]","[5, 4, 1, 6, 2, 6]",5,5,0,0,88,VB_FR,0,Value-Based Reward,Middle-Value
3131,6156,1t2zfshu2,91,3,0,0.8185,experiment_VB,-9,51,12.8,0.6,21,30,9,1,"[8, 4, 1, 1, 3, 4]","[7, 1, 2, 7, 5, 8]",4,5,-1,1,89,VB_FR,1,Value-Based Reward,Middle-Value
3132,6157,1t2zfshu2,92,3,0,0.769,experiment_VB,-6,64,12.8,0.6,29,35,6,1,"[6, 4, 8, 3, 4, 4]","[7, 6, 6, 4, 4, 8]",4,4,0,0,90,VB_FR,0,Value-Based Reward,High-Value
3133,6158,1t2zfshu2,93,3,0,2.1124,experiment_VB,-2,50,12.8,0.6,24,26,2,1,"[1, 5, 5, 5, 1, 7]","[6, 2, 4, 2, 4, 8]",3,4,-1,1,91,VB_FR,1,Value-Based Reward,Middle-Value
3134,6159,1t2zfshu2,94,3,0,0.9027,experiment_VB,-8,68,12.8,0.6,30,38,8,1,"[4, 2, 7, 3, 6, 8]","[6, 7, 5, 8, 8, 4]",6,5,1,1,92,VB_FR,1,Value-Based Reward,High-Value
3135,6160,1t2zfshu2,95,3,1,1.8888,experiment_VB,5,45,12.8,0.6,25,20,5,1,"[3, 3, 8, 3, 2, 6]","[5, 1, 2, 4, 7, 1]",4,5,-1,1,93,VB_FR,1,Value-Based Reward,Low-Value
3136,6161,1t2zfshu2,96,3,1,1.8934,experiment_VB,1,37,12.8,0.6,19,18,1,1,"[1, 2, 1, 1, 8, 6]","[1, 7, 1, 6, 1, 2]",4,4,0,0,94,VB_FR,0,Value-Based Reward,Low-Value
3137,6162,1t2zfshu2,97,3,0,1.22,experiment_VB,-16,50,12.8,0.6,17,33,16,1,"[4, 1, 1, 5, 1, 5]","[3, 4, 2, 8, 8, 8]",3,4,-1,1,95,VB_FR,1,Value-Based Reward,Middle-Value
3138,6163,1t2zfshu2,98,3,1,0.718,experiment_VB,6,52,12.8,0.6,29,23,6,1,"[6, 6, 6, 8, 1, 2]","[4, 4, 6, 4, 4, 1]",4,3,1,1,96,VB_FR,1,Value-Based Reward,Middle-Value
3139,6164,1t2zfshu2,99,3,0,2.6262,experiment_VB,-2,54,12.8,0.6,26,28,2,1,"[4, 1, 5, 1, 8, 7]","[2, 4, 3, 4, 8, 7]",5,5,0,0,97,VB_FR,0,Value-Based Reward,Middle-Value
3140,6165,1t2zfshu2,100,3,0,2.1375,experiment_VB,4,60,12.8,0.6,32,28,4,0,"[8, 4, 8, 2, 2, 8]","[7, 3, 4, 8, 2, 4]",3,5,-2,2,98,VB_FR,2,Value-Based Reward,High-Value
3141,6166,1t2zfshu2,101,3,0,1.0494,experiment_VB,-1,59,12.8,0.6,29,30,1,1,"[2, 7, 3, 6, 3, 8]","[3, 7, 3, 3, 7, 7]",5,2,3,3,99,VB_FR,3,Value-Based Reward,Middle-Value
3142,6167,1t2zfshu2,102,3,1,2.2186,experiment_VB,4,50,12.8,0.6,27,23,4,1,"[6, 5, 2, 8, 2, 4]","[1, 6, 7, 4, 4, 1]",5,4,1,1,100,VB_FR,1,Value-Based Reward,Middle-Value
3143,6168,1t2zfshu2,103,3,0,2.5708,experiment_VB,-3,49,12.8,0.6,23,26,3,1,"[3, 5, 6, 7, 1, 1]","[2, 7, 8, 2, 5, 2]",5,4,1,1,101,VB_FR,1,Value-Based Reward,Middle-Value
3144,6169,1t2zfshu2,104,3,0,0.8757,experiment_VB,-8,56,12.8,0.6,24,32,8,1,"[2, 7, 2, 6, 6, 1]","[8, 5, 4, 3, 4, 8]",4,4,0,0,102,VB_FR,0,Value-Based Reward,Middle-Value
3145,6170,1t2zfshu2,105,3,0,0.9131,experiment_VB,-3,63,12.8,0.6,30,33,3,1,"[6, 1, 6, 4, 7, 6]","[8, 4, 8, 2, 4, 7]",4,4,0,0,103,VB_FR,0,Value-Based Reward,High-Value
3146,6171,1t2zfshu2,106,3,0,0.7441,experiment_VB,-7,43,12.8,0.6,18,25,7,1,"[2, 5, 4, 3, 2, 2]","[3, 6, 8, 4, 3, 1]",4,5,-1,1,104,VB_FR,1,Value-Based Reward,Low-Value
3147,6172,1t2zfshu2,107,3,0,1.9442,experiment_VB,0,54,12.8,0.6,27,27,0,0,"[3, 4, 2, 4, 6, 8]","[6, 4, 3, 5, 3, 6]",5,4,1,1,105,VB_FR,1,Value-Based Reward,Middle-Value
3148,6173,1t2zfshu2,108,3,1,1.2238,experiment_VB,8,52,12.8,0.6,30,22,8,1,"[7, 2, 5, 8, 5, 3]","[3, 3, 2, 6, 3, 5]",5,4,1,1,106,VB_FR,1,Value-Based Reward,Middle-Value
3149,6174,1t2zfshu2,109,3,0,0.8501,experiment_VB,-7,45,12.8,0.6,19,26,7,1,"[2, 1, 1, 5, 4, 6]","[4, 8, 6, 2, 3, 3]",5,5,0,0,107,VB_FR,0,Value-Based Reward,Low-Value
3150,6175,1t2zfshu2,110,3,0,1.6845,experiment_VB,0,50,12.8,0.6,25,25,0,0,"[8, 2, 1, 4, 4, 6]","[6, 2, 2, 6, 4, 5]",5,4,1,1,108,VB_FR,1,Value-Based Reward,Middle-Value
3151,6176,1t2zfshu2,111,3,1,0.9789,experiment_VB,11,59,12.8,0.6,35,24,11,1,"[1, 8, 5, 8, 6, 7]","[5, 2, 6, 2, 7, 2]",5,4,1,1,109,VB_FR,1,Value-Based Reward,Middle-Value
3152,6177,1t2zfshu2,112,3,1,2.1938,experiment_VB,4,42,12.8,0.6,23,19,4,1,"[2, 6, 2, 4, 1, 8]","[3, 3, 1, 3, 7, 2]",5,4,1,1,110,VB_FR,1,Value-Based Reward,Low-Value
3153,6178,1t2zfshu2,113,3,1,0.8566,experiment_VB,14,40,12.8,0.6,27,13,14,1,"[4, 3, 4, 5, 6, 5]","[1, 1, 3, 3, 4, 1]",4,3,1,1,111,VB_FR,1,Value-Based Reward,Low-Value
3154,6179,1t2zfshu2,114,3,0,1.0611,experiment_VB,-3,51,12.8,0.6,24,27,3,1,"[6, 2, 2, 5, 2, 7]","[5, 1, 4, 6, 6, 5]",4,4,0,0,112,VB_FR,0,Value-Based Reward,Middle-Value
3155,6180,1t2zfshu2,115,3,1,1.4316,experiment_VB,3,55,12.8,0.6,29,26,3,1,"[5, 6, 3, 2, 6, 7]","[5, 4, 8, 3, 1, 5]",5,5,0,0,113,VB_FR,0,Value-Based Reward,Middle-Value
3156,6181,1t2zfshu2,116,3,0,1.818,experiment_VB,-4,56,12.8,0.6,26,30,4,1,"[1, 8, 6, 7, 3, 1]","[7, 5, 3, 6, 1, 8]",5,6,-1,1,114,VB_FR,1,Value-Based Reward,Middle-Value
3157,6182,1t2zfshu2,117,3,0,1.7718,experiment_VB,-4,52,12.8,0.6,24,28,4,1,"[3, 4, 8, 2, 4, 3]","[3, 8, 1, 5, 8, 3]",4,4,0,0,115,VB_FR,0,Value-Based Reward,Middle-Value
3158,6183,1t2zfshu2,118,3,0,0.8594,experiment_VB,-5,53,12.8,0.6,24,29,5,1,"[8, 3, 2, 2, 4, 5]","[5, 7, 8, 6, 2, 1]",5,6,-1,1,116,VB_FR,1,Value-Based Reward,Middle-Value
3159,6184,1t2zfshu2,119,3,1,1.4569,experiment_VB,1,51,12.8,0.6,26,25,1,1,"[6, 2, 6, 6, 4, 2]","[1, 7, 1, 8, 6, 2]",3,5,-2,2,117,VB_FR,2,Value-Based Reward,Middle-Value
3160,6185,1t2zfshu2,120,3,1,2.6921,experiment_VB,1,53,12.8,0.6,27,26,1,1,"[5, 6, 7, 5, 2, 2]","[2, 7, 7, 2, 7, 1]",4,3,1,1,118,VB_FR,1,Value-Based Reward,Middle-Value
3161,6186,1t2zfshu2,122,3,1,0.9521,experiment_VB,1,53,12.8,0.6,27,26,1,1,"[5, 4, 6, 2, 3, 7]","[4, 5, 2, 3, 8, 4]",6,5,1,1,119,VB_FR,1,Value-Based Reward,Middle-Value
3162,6187,1t2zfshu2,123,3,0,1.876,experiment_VB,-3,49,12.8,0.6,23,26,3,1,"[4, 6, 1, 5, 3, 4]","[3, 3, 5, 5, 7, 3]",5,3,2,2,120,VB_FR,2,Value-Based Reward,Middle-Value
3163,6188,1t2zfshu2,124,3,1,0.7176,experiment_VB,4,58,12.8,0.6,31,27,4,1,"[8, 5, 2, 7, 8, 1]","[1, 8, 4, 8, 1, 5]",5,4,1,1,121,VB_FR,1,Value-Based Reward,Middle-Value
3164,6189,1t2zfshu2,125,3,1,0.8026,experiment_VB,10,56,12.8,0.6,33,23,10,1,"[7, 6, 5, 6, 8, 1]","[2, 1, 4, 6, 2, 8]",5,5,0,0,122,VB_FR,0,Value-Based Reward,Middle-Value
3165,6190,1t2zfshu2,126,3,0,0.6363,experiment_VB,-4,62,12.8,0.6,29,33,4,1,"[7, 7, 5, 2, 4, 4]","[2, 7, 7, 5, 5, 7]",4,3,1,1,123,VB_FR,1,Value-Based Reward,High-Value
3166,6191,1t2zfshu2,127,3,1,0.8506,experiment_VB,3,63,12.8,0.6,33,30,3,1,"[8, 6, 5, 7, 4, 3]","[8, 6, 5, 3, 1, 7]",6,6,0,0,124,VB_FR,0,Value-Based Reward,High-Value
3167,6192,1t2zfshu2,128,3,0,0.6863,experiment_VB,-8,60,12.8,0.6,26,34,8,1,"[4, 6, 8, 1, 6, 1]","[7, 5, 8, 4, 5, 5]",4,4,0,0,125,VB_FR,0,Value-Based Reward,High-Value
3168,6193,1t2zfshu2,129,3,1,0.6924,experiment_VB,7,61,12.8,0.6,34,27,7,1,"[4, 5, 6, 4, 7, 8]","[5, 5, 3, 4, 7, 3]",5,4,1,1,126,VB_FR,1,Value-Based Reward,High-Value
3169,6194,1t2zfshu2,131,3,0,1.3993,experiment_VB,-2,54,12.8,0.6,26,28,2,1,"[5, 6, 3, 2, 3, 7]","[1, 5, 8, 4, 6, 4]",5,5,0,0,127,VB_FR,0,Value-Based Reward,Middle-Value
3170,6195,1t2zfshu2,132,3,1,2.01,experiment_VB,-5,61,12.8,0.6,28,33,5,0,"[3, 2, 3, 8, 7, 5]","[5, 2, 4, 7, 7, 8]",5,5,0,0,128,VB_FR,0,Value-Based Reward,High-Value
3171,6196,1t2zfshu2,133,3,0,1.3998,experiment_VB,-5,53,12.8,0.6,24,29,5,1,"[4, 5, 3, 8, 3, 1]","[1, 2, 7, 8, 4, 7]",5,5,0,0,129,VB_FR,0,Value-Based Reward,Middle-Value
3172,6197,1t2zfshu2,134,3,0,0.7732,experiment_VB,-10,56,12.8,0.6,23,33,10,1,"[5, 4, 1, 2, 3, 8]","[5, 4, 4, 5, 8, 7]",6,4,2,2,130,VB_FR,2,Value-Based Reward,Middle-Value
3173,6198,1t2zfshu2,135,3,0,0.9457,experiment_VB,-8,58,12.8,0.6,25,33,8,1,"[2, 7, 8, 1, 1, 6]","[5, 6, 2, 8, 6, 6]",5,4,1,1,131,VB_FR,1,Value-Based Reward,Middle-Value
3174,6199,1t2zfshu2,136,3,1,0.6572,experiment_VB,22,60,12.8,0.6,41,19,22,1,"[8, 6, 8, 7, 6, 6]","[5, 2, 2, 1, 5, 4]",3,4,-1,1,132,VB_FR,1,Value-Based Reward,High-Value
3175,6200,1t2zfshu2,137,3,0,0.6429,experiment_VB,-3,51,12.8,0.6,24,27,3,1,"[2, 3, 8, 3, 6, 2]","[7, 5, 5, 3, 2, 5]",4,4,0,0,133,VB_FR,0,Value-Based Reward,Middle-Value
3176,6201,1t2zfshu2,138,3,0,0.868,experiment_VB,-7,69,12.8,0.6,31,38,7,1,"[7, 4, 8, 6, 1, 5]","[8, 7, 3, 6, 7, 7]",6,4,2,2,134,VB_FR,2,Value-Based Reward,High-Value
3177,6202,1t2zfshu2,139,3,0,0.7371,experiment_VB,-4,48,12.8,0.6,22,26,4,1,"[4, 7, 2, 3, 5, 1]","[1, 3, 6, 8, 6, 2]",6,5,1,1,135,VB_FR,1,Value-Based Reward,Middle-Value
3178,6203,1t2zfshu2,140,3,0,2.4426,experiment_VB,-2,40,12.8,0.6,19,21,2,1,"[1, 5, 2, 3, 4, 4]","[3, 3, 1, 6, 1, 7]",5,4,1,1,136,VB_FR,1,Value-Based Reward,Low-Value
3179,6204,1t2zfshu2,141,3,0,2.0709,experiment_VB,-5,65,12.8,0.6,30,35,5,1,"[7, 6, 2, 8, 1, 6]","[8, 3, 4, 8, 7, 5]",5,5,0,0,137,VB_FR,0,Value-Based Reward,High-Value
3180,6205,1t2zfshu2,143,3,1,0.7884,experiment_VB,1,55,12.8,0.6,28,27,1,1,"[7, 3, 3, 4, 6, 5]","[8, 6, 4, 5, 1, 3]",5,6,-1,1,138,VB_FR,1,Value-Based Reward,Middle-Value
3181,6206,1t2zfshu2,144,3,1,2.1756,experiment_VB,8,46,12.8,0.6,27,19,8,1,"[6, 5, 4, 2, 2, 8]","[1, 2, 5, 2, 7, 2]",5,4,1,1,139,VB_FR,1,Value-Based Reward,Low-Value
3182,6207,1t2zfshu2,145,3,0,1.0476,experiment_VB,-3,37,12.8,0.6,17,20,3,1,"[1, 2, 1, 4, 2, 7]","[3, 2, 6, 2, 4, 3]",4,4,0,0,140,VB_FR,0,Value-Based Reward,Low-Value
3183,6208,1t2zfshu2,146,3,0,0.9545,experiment_VB,-13,53,12.8,0.6,20,33,13,1,"[3, 1, 7, 2, 2, 5]","[6, 2, 4, 7, 7, 7]",5,4,1,1,141,VB_FR,1,Value-Based Reward,Middle-Value
3184,6209,1t2zfshu2,147,3,0,0.6554,experiment_VB,-13,49,12.8,0.6,18,31,13,1,"[1, 8, 1, 4, 1, 3]","[3, 5, 6, 4, 8, 5]",4,5,-1,1,142,VB_FR,1,Value-Based Reward,Middle-Value
3185,6210,1t2zfshu2,148,3,1,0.7291,experiment_VB,8,46,12.8,0.6,27,19,8,1,"[5, 7, 1, 4, 6, 4]","[4, 2, 3, 8, 1, 1]",5,5,0,0,143,VB_FR,0,Value-Based Reward,Low-Value
3186,6211,1t2zfshu2,149,3,0,0.6332,experiment_VB,-9,65,12.8,0.6,28,37,9,1,"[5, 3, 3, 6, 3, 8]","[7, 7, 8, 2, 8, 5]",4,4,0,0,144,VB_FR,0,Value-Based Reward,High-Value
3187,6212,1t2zfshu2,150,3,1,0.7161,experiment_VB,11,57,12.8,0.6,34,23,11,1,"[5, 8, 2, 7, 6, 6]","[6, 5, 2, 6, 3, 1]",5,5,0,0,145,VB_FR,0,Value-Based Reward,Middle-Value
3188,6350,s8v8nuxv8,1,44,1,0.9781,experiment_VB,-1,53,11.6,0.6,26,27,1,0,"[1, 7, 7, 2, 7, 2]","[5, 7, 6, 2, 2, 5]",3,4,-1,1,1,VB_FR,1,Value-Based Reward,Middle-Value
3189,6351,s8v8nuxv8,2,44,1,0.7151,experiment_VB,6,56,11.6,0.6,31,25,6,1,"[4, 6, 7, 1, 6, 7]","[3, 4, 5, 2, 4, 7]",4,5,-1,1,2,VB_FR,1,Value-Based Reward,Middle-Value
3190,6352,s8v8nuxv8,3,44,0,0.7318,experiment_VB,-5,53,11.6,0.6,24,29,5,1,"[3, 4, 5, 2, 2, 8]","[2, 6, 5, 7, 8, 1]",5,6,-1,1,3,VB_FR,1,Value-Based Reward,Middle-Value
3191,6353,s8v8nuxv8,4,44,1,0.7099,experiment_VB,7,51,11.6,0.6,29,22,7,1,"[2, 3, 8, 5, 6, 5]","[2, 5, 6, 4, 3, 2]",5,5,0,0,4,VB_FR,0,Value-Based Reward,Middle-Value
3192,6354,s8v8nuxv8,5,44,0,0.8233,experiment_VB,2,50,11.6,0.6,26,24,2,0,"[4, 2, 6, 4, 2, 8]","[7, 5, 1, 1, 5, 5]",4,3,1,1,5,VB_FR,1,Value-Based Reward,Middle-Value
3193,6355,s8v8nuxv8,6,44,0,0.5644,experiment_VB,-13,55,11.6,0.6,21,34,13,1,"[5, 1, 4, 3, 5, 3]","[2, 6, 8, 6, 5, 7]",4,5,-1,1,6,VB_FR,1,Value-Based Reward,Middle-Value
3194,6356,s8v8nuxv8,7,44,0,0.5383,experiment_VB,-2,40,11.6,0.6,19,21,2,1,"[5, 1, 4, 2, 3, 4]","[1, 1, 7, 6, 3, 3]",5,4,1,1,7,VB_FR,1,Value-Based Reward,Low-Value
3195,6357,s8v8nuxv8,8,44,1,0.708,experiment_VB,-6,54,11.6,0.6,24,30,6,0,"[1, 2, 4, 6, 6, 5]","[4, 5, 4, 8, 7, 2]",5,5,0,0,8,VB_FR,0,Value-Based Reward,Middle-Value
