,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
34,34,hwrblsy3h,41,27,1,0.5177,experiment_FR,8,48,4,0.7,28,20,8,1,"[3, 7, 4, 6, 6, 2]","[3, 3, 7, 2, 1, 4]",5,5,0,0,35,FR_VB,0,Accuracy-Based Reward,Low-Value
35,35,hwrblsy3h,42,27,1,0.8218,experiment_FR,6,54,4,0.7,30,24,6,1,"[6, 3, 7, 3, 5, 6]","[4, 3, 6, 2, 7, 2]",4,5,-1,1,36,FR_VB,1,Accuracy-Based Reward,Middle-Value
36,36,hwrblsy3h,43,27,1,0.405,experiment_FR,22,60,4,0.7,41,19,22,1,"[6, 8, 8, 7, 6, 6]","[2, 4, 5, 5, 2, 1]",3,4,-1,1,37,FR_VB,1,Accuracy-Based Reward,High-Value
37,37,hwrblsy3h,44,27,0,0.5484,experiment_FR,-8,50,4,0.7,21,29,8,1,"[3, 4, 1, 4, 3, 6]","[1, 6, 4, 3, 8, 7]",4,6,-2,2,38,FR_VB,2,Accuracy-Based Reward,Middle-Value
38,38,hwrblsy3h,45,27,0,0.996,experiment_FR,-5,45,4,0.7,20,25,5,1,"[2, 3, 6, 1, 6, 2]","[2, 1, 8, 3, 4, 7]",4,6,-2,2,39,FR_VB,2,Accuracy-Based Reward,Low-Value
39,39,hwrblsy3h,46,27,1,0.5356,experiment_FR,13,53,4,0.7,33,20,13,1,"[2, 7, 7, 7, 4, 6]","[7, 2, 1, 2, 3, 5]",4,5,-1,1,40,FR_VB,1,Accuracy-Based Reward,Middle-Value
40,40,hwrblsy3h,47,27,1,0.9203,experiment_FR,2,52,4,0.7,27,25,2,1,"[1, 4, 4, 7, 4, 7]","[3, 2, 4, 2, 6, 8]",3,5,-2,2,41,FR_VB,2,Accuracy-Based Reward,Middle-Value
41,41,hwrblsy3h,48,27,1,0.5137,experiment_FR,15,51,4,0.7,33,18,15,1,"[8, 6, 2, 7, 5, 5]","[3, 1, 5, 1, 1, 7]",5,4,1,1,42,FR_VB,1,Accuracy-Based Reward,Middle-Value
42,42,hwrblsy3h,50,27,1,1.1337,experiment_FR,5,45,4,0.7,25,20,5,1,"[3, 3, 6, 3, 2, 8]","[5, 1, 4, 7, 1, 2]",4,5,-1,1,43,FR_VB,1,Accuracy-Based Reward,Low-Value
43,43,hwrblsy3h,51,27,1,0.7268,experiment_FR,6,40,4,0.7,23,17,6,1,"[4, 3, 6, 1, 8, 1]","[1, 5, 3, 2, 3, 3]",5,4,1,1,44,FR_VB,1,Accuracy-Based Reward,Low-Value
44,44,hwrblsy3h,52,27,1,0.6588,experiment_FR,5,53,4,0.7,29,24,5,1,"[4, 8, 1, 2, 7, 7]","[3, 4, 5, 8, 3, 1]",5,5,0,0,45,FR_VB,0,Accuracy-Based Reward,Middle-Value
45,45,hwrblsy3h,53,27,0,1.3836,experiment_FR,3,37,4,0.7,20,17,3,0,"[2, 6, 3, 3, 2, 4]","[7, 2, 2, 1, 4, 1]",4,4,0,0,46,FR_VB,0,Accuracy-Based Reward,Low-Value
46,46,hwrblsy3h,54,27,0,0.7164,experiment_FR,-8,62,4,0.7,27,35,8,1,"[4, 8, 2, 3, 5, 5]","[6, 7, 7, 8, 2, 5]",5,5,0,0,47,FR_VB,0,Accuracy-Based Reward,High-Value
47,47,hwrblsy3h,55,27,0,0.8592,experiment_FR,-2,40,4,0.7,19,21,2,1,"[4, 1, 2, 5, 3, 4]","[3, 1, 7, 6, 1, 3]",5,4,1,1,48,FR_VB,1,Accuracy-Based Reward,Low-Value
48,48,hwrblsy3h,56,27,0,0.7474,experiment_FR,-5,67,4,0.7,31,36,5,1,"[3, 4, 6, 3, 8, 7]","[8, 5, 8, 7, 6, 2]",5,5,0,0,49,FR_VB,0,Accuracy-Based Reward,High-Value
49,49,hwrblsy3h,57,27,1,1.2328,experiment_FR,3,59,4,0.7,31,28,3,1,"[4, 5, 1, 8, 8, 5]","[5, 7, 8, 1, 1, 6]",4,5,-1,1,50,FR_VB,1,Accuracy-Based Reward,Middle-Value
50,50,hwrblsy3h,58,27,0,1.0709,experiment_FR,-9,47,4,0.7,19,28,9,1,"[2, 2, 1, 5, 5, 4]","[3, 3, 8, 3, 5, 6]",4,4,0,0,51,FR_VB,0,Accuracy-Based Reward,Low-Value
