,subj_idx,response,rt,dif,Info,Third,skew
135,1,1,1.0886,3,MV,mid,-0.09840321517929596
136,1,0,0.95992,4,MV,high,-0.09840321517929596
137,1,1,1.0455,5,MV,low,-0.09840321517929596
138,1,1,1.4299,1,MV,mid,-0.09840321517929596
139,1,1,0.91161,4,MV,mid,-0.09840321517929596
140,1,1,0.79706,4,MV,high,-0.09840321517929596
141,1,1,0.97569,5,MV,low,-0.09840321517929596
142,1,1,1.0643,5,MV,mid,-0.09840321517929596
143,1,1,1.2035,4,MV,high,-0.09840321517929596
144,1,0,0.87772,1,MV,low,-0.09840321517929596
145,1,1,2.0378,4,MV,low,-0.09840321517929596
146,1,1,0.90262,4,MV,low,-0.09840321517929596
147,1,1,0.78195,4,MV,high,-0.09840321517929596
148,1,1,0.72231,3,EV,mid,-0.09840321517929596
149,1,1,0.60879,2,EV,mid,-0.09840321517929596
150,1,1,1.3629,3,EV,mid,-0.09840321517929596
151,1,1,1.1515,2,EV,mid,-0.09840321517929596
152,1,1,0.58777,2,EV,mid,-0.09840321517929596
153,1,1,0.68717,4,EV,mid,-0.09840321517929596
154,1,1,0.80675,2,EV,mid,-0.09840321517929596
155,1,1,0.55357,3,EV,mid,-0.09840321517929596
156,1,0,1.0776,1,EV,mid,-0.09840321517929596
157,1,1,0.87044,4,EV,mid,-0.09840321517929596
158,1,1,0.95005,4,EV,mid,-0.09840321517929596
159,1,1,0.87452,3,EV,mid,-0.09840321517929596
160,1,1,1.1867,1,EV,mid,-0.09840321517929596
161,1,1,0.84586,1,EV,mid,-0.09840321517929596
162,1,1,1.2311,3,EV,mid,-0.09840321517929596
163,1,1,0.8109,5,MV,high,-0.09840321517929596
164,1,1,0.75706,3,MV,mid,-0.09840321517929596
165,1,1,1.1217,2,MV,mid,-0.09840321517929596
166,1,1,0.69578,2,MV,mid,-0.09840321517929596
167,1,1,0.77442,3,MV,high,-0.09840321517929596
168,1,0,0.55431,3,MV,high,-0.09840321517929596
169,1,1,1.7993,4,MV,low,-0.09840321517929596
170,1,1,1.1217,2,MV,high,-0.09840321517929596
171,1,1,0.89609,2,MV,low,-0.09840321517929596
172,1,0,0.98251,3,MV,mid,-0.09840321517929596
173,1,1,0.90625,3,MV,low,-0.09840321517929596
174,1,1,0.80063,4,MV,mid,-0.09840321517929596
175,1,1,1.4032,3,MV,low,-0.09840321517929596
176,1,1,1.318,2,MV,high,-0.09840321517929596
177,1,0,0.66028,1,MV,low,-0.09840321517929596
178,1,1,0.72796,4,EV,high,-0.09840321517929596
179,1,1,0.83725,4,EV,high,-0.09840321517929596
180,1,1,0.93479,1,EV,high,-0.09840321517929596
181,1,1,1.1876,2,EV,high,-0.09840321517929596
182,1,1,0.80749,2,EV,high,-0.09840321517929596
183,1,1,1.074,4,EV,high,-0.09840321517929596
184,1,0,1.0982,1,EV,high,-0.09840321517929596
185,1,0,1.2567,1,EV,high,-0.09840321517929596
186,1,1,2.3377,3,EV,high,-0.09840321517929596
187,1,1,2.1116,2,EV,high,-0.09840321517929596
188,1,1,0.94151,3,EV,high,-0.09840321517929596
189,1,1,2.0666,3,EV,high,-0.09840321517929596
190,1,1,1.7706,2,EV,high,-0.09840321517929596
191,1,1,1.3504,4,EV,high,-0.09840321517929596
192,1,1,0.91497,2,EV,high,-0.09840321517929596
193,1,1,1.4082,2,MV,mid,-0.09840321517929596
194,1,1,1.1543,3,MV,low,-0.09840321517929596
195,1,0,2.247,2,MV,high,-0.09840321517929596
196,1,1,0.92061,1,MV,mid,-0.09840321517929596
197,1,1,1.7102,1,MV,mid,-0.09840321517929596
198,1,1,1.2764,4,MV,mid,-0.09840321517929596
199,1,0,0.9886,3,MV,mid,-0.09840321517929596
200,1,0,1.4966,5,MV,low,-0.09840321517929596
201,1,0,0.84693,3,MV,low,-0.09840321517929596
202,1,1,1.5037,3,MV,low,-0.09840321517929596
203,1,0,1.0463,1,MV,high,-0.09840321517929596
204,1,1,1.1587,2,MV,high,-0.09840321517929596
205,1,1,1.1802,2,MV,high,-0.09840321517929596
206,1,1,1.0393,5,MV,high,-0.09840321517929596
207,1,1,1.7607,1,MV,low,-0.09840321517929596
208,1,1,0.99106,3,EV,low,-0.09840321517929596
209,1,1,1.9542,3,EV,low,-0.09840321517929596
210,1,0,1.9268,1,EV,low,-0.09840321517929596
211,1,1,1.5043,2,EV,low,-0.09840321517929596
212,1,1,2.2471,1,EV,low,-0.09840321517929596
213,1,1,1.0404,3,EV,low,-0.09840321517929596
214,1,1,1.514,3,EV,low,-0.09840321517929596
215,1,1,0.80152,4,EV,low,-0.09840321517929596
216,1,1,0.84465,4,EV,low,-0.09840321517929596
217,1,1,0.81259,4,MV,low,-0.09840321517929596
218,1,1,1.0468,2,MV,mid,-0.09840321517929596
219,1,1,1.8554,1,MV,high,-0.09840321517929596
220,1,1,1.048,2,MV,high,-0.09840321517929596
221,1,1,0.80747,5,MV,high,-0.09840321517929596
222,1,0,1.7144,2,MV,mid,-0.09840321517929596
223,1,0,2.07,1,MV,mid,-0.09840321517929596
224,1,1,1.7587,3,MV,low,-0.09840321517929596
225,1,0,1.1948,5,MV,mid,-0.09840321517929596
226,1,0,1.8456,2,MV,high,-0.09840321517929596
227,1,1,0.7507,1,MV,high,-0.09840321517929596
228,1,1,1.1154,4,MV,low,-0.09840321517929596
229,1,1,0.84177,5,MV,mid,-0.09840321517929596
230,1,0,1.2705,1,EV,mid,-0.09840321517929596
231,1,1,1.3341,4,EV,mid,-0.09840321517929596
232,1,1,1.4352,2,EV,mid,-0.09840321517929596
233,1,1,1.4844,5,EV,mid,-0.09840321517929596
234,1,1,0.8844,3,EV,mid,-0.09840321517929596
235,1,1,1.6039,3,EV,mid,-0.09840321517929596
236,1,1,0.96596,3,EV,mid,-0.09840321517929596
237,1,1,1.4182,3,EV,mid,-0.09840321517929596
238,1,1,1.6763,1,EV,mid,-0.09840321517929596
239,1,1,2.0125,3,EV,mid,-0.09840321517929596
240,1,1,1.3067,2,EV,mid,-0.09840321517929596
241,1,1,1.345,1,EV,mid,-0.09840321517929596
242,1,1,1.5416,3,EV,mid,-0.09840321517929596
243,1,1,0.76351,5,EV,mid,-0.09840321517929596
244,1,1,1.0499,1,MV,low,-0.09840321517929596
245,1,0,1.7785,2,MV,mid,-0.09840321517929596
246,1,1,0.79767,1,MV,mid,-0.09840321517929596
247,1,0,1.0164,3,MV,high,-0.09840321517929596
248,1,1,1.7584,2,MV,high,-0.09840321517929596
249,1,1,0.84277,2,MV,high,-0.09840321517929596
250,1,1,1.132,4,MV,low,-0.09840321517929596
251,1,0,1.0975,1,MV,high,-0.09840321517929596
252,1,1,1.4564,5,MV,mid,-0.09840321517929596
253,1,1,1.0728,4,MV,low,-0.09840321517929596
254,1,1,0.82524,4,MV,mid,-0.09840321517929596
255,1,1,0.93043,4,MV,high,-0.09840321517929596
256,1,1,0.83211,3,MV,mid,-0.09840321517929596
257,1,1,1.1937,4,MV,low,-0.09840321517929596
258,2,1,2.8965,4,EV,mid,
259,2,1,1.3579,4,EV,mid,
260,2,1,1.6117,5,EV,mid,
261,2,1,1.1429,5,EV,mid,
262,2,1,3.2595,3,EV,mid,
263,2,1,1.4122,4,EV,mid,
264,2,1,1.2864,2,EV,mid,
265,2,1,1.327,2,EV,mid,
266,2,1,1.9012,3,EV,mid,
267,2,1,1.3555,3,EV,mid,
268,2,1,1.3683,3,EV,mid,
269,2,1,1.8923,3,EV,mid,
270,2,1,1.1079,5,EV,mid,
271,2,1,1.6423,3,EV,mid,
272,2,1,1.8664,1,MV,low,
273,2,1,2.4259,5,MV,high,
274,2,0,2.628,2,MV,low,
275,2,1,1.7252,2,MV,high,
276,2,1,2.6673,4,MV,low,
277,2,1,3.1953,2,MV,mid,
278,2,0,1.5021,2,MV,mid,
279,2,1,2.485,1,MV,low,
280,2,1,1.5325,1,MV,low,
281,2,1,2.6658,2,MV,mid,
282,2,1,1.8818,3,MV,high,
283,2,1,2.433,3,MV,mid,
284,2,1,1.0907,4,MV,mid,
285,2,1,2.5698,3,MV,high,
286,2,0,0.87751,1,MV,high,
287,2,1,1.5043,4,EV,high,
288,2,1,2.4866,3,EV,high,
289,2,1,1.566,4,EV,high,
290,2,1,1.7619,4,EV,high,
291,2,1,2.4946,1,EV,high,
292,2,1,0.8772,3,EV,high,
293,2,1,2.517,3,EV,high,
294,2,1,2.283,2,EV,high,
295,2,1,2.2026,2,EV,high,
296,2,1,1.2453,3,EV,high,
297,2,1,1.9499,2,EV,high,
298,2,1,2.1465,1,EV,high,
299,2,1,1.9112,4,EV,high,
300,2,1,1.5969,1,EV,high,
301,2,1,1.705,2,MV,low,
302,2,1,1.8158,2,MV,high,
303,2,1,1.1528,4,MV,low,
304,2,1,1.8701,4,MV,mid,
305,2,1,3.9744,1,MV,high,
306,2,1,1.298,4,MV,low,
307,2,1,1.1606,2,MV,high,
308,2,1,2.9246,3,MV,mid,
309,2,1,2.0427,3,MV,mid,
310,2,1,1.7087,5,MV,high,
